8716,7962,-7839,-9128,-7470
-2066,-8454,-6611,-7634,-8642
-2315,3169,3092,5462,-218
6608,2298,9741,-4571,5685
4837,2669,932,1007,3700
8201,-8765,-2996,-6342,-9867
4279,3553,9270,-9125,-3704
-2727,-2123,-5839,4135,2203
-2278,9216,-2887,9974,-9949
6561,5363,-1176,-8858,-148
-9861,-2940,4869,-3694,1392
-3774,-4156,5705,-2984,-2172
-9806,-7787,-5395,-1297,-5560
-8332,8871,-1743,-8370,9429
-9998,6502,-7974,3854,6033
-4606,-742,4513,-9116,-2917
228,-3796,5585,-7038,4142
5977,-4081,1611,-6028,693
506,-4986,-1919,345,-6076
-8795,5287,-2542,5640,9466
6468,4082,-1642,1610,7614
-505,1342,9181,-6194,-6899
2144,-636,-5803,-3209,-5141
4206,3187,8051,5393,5206
6060,-643,-9091,-3380,-3731
-8572,6049,7218,-3946,7495
-4491,-7462,-5011,-6968,-4667
-7609,-6700,594,2795,2802
8235,-3616,-613,-325,-4188
8818,975,-5456,7789,7354
-5480,9800,4818,9801,-6542
-4402,8041,7757,161,5092
7273,7392,5183,-4667,-8182
8469,135,-8950,-4320,-8567
8547,-485,-2621,837,2518
7603,-7510,-1638,8046,-3520
-415,-3740,-8038,-3191,9933
4802,1585,-7982,5834,9563
7593,4050,3345,843,953
-6600,8472,-4547,1837,5354
-7308,7286,-659,-743,-1476
-2407,-1243,-8478,-9512,632
-8344,-3871,6922,-4271,1697
-2073,4185,-6612,3903,33
-9866,201,-937,-9376,2195
8579,-5728,-8919,4231,-1998
5294,-6816,2679,-406,-313
-985,-8915,6028,5136,-1721
3460,-4003,7075,7181,8300
9325,-1290,7227,-7082,1741
-4833,-1920,-3952,6504,962
-3295,-9372,1222,-1157,7767
-7605,-1045,7312,1184,-2152
2373,942,5887,8859,-5581
-1614,4998,399,1041,-7365
-3575,-2845,-2317,-9529,-5554
-7410,-7720,-1711,-7256,4834
5726,5572,-4110,2271,-2686
-69,7502,9785,-4548,-1271
-8517,-5351,-5743,-9023,-4431
-7922,-7002,-4665,-9554,5239
-9774,-3161,-8354,4808,-1791
9641,-6779,4157,7497,-5334
-8483,1828,-3534,-1029,-1850
4326,-3669,5717,-9725,5897
537,3695,7342,6135,-592
3655,-9600,9974,7464,-5054
-7234,7339,7547,2154,-1148
-8847,8617,3969,2613,8209
122,-4743,2620,-4356,4847
985,-1302,-6210,-6130,9974
-7377,7444,3002,8688,5530
4316,-2365,1518,2864,-615
-3564,7212,-3120,3061,6184
-7344,3798,-951,824,-6746
-1836,-7903,9597,5800,3896
5734,-6173,-81,-9753,3926
-8484,3801,-9775,3009,-8624
9889,7485,6363,3871,-7419
8516,-9146,-4786,3512,2878
-5906,7895,9305,-9591,5288
5891,8695,9703,1771,-9308
-8958,-2399,4329,-9808,-4643
-4480,5007,1911,-5943,-3168
7363,6126,-9537,-7902,2975
1852,-3064,-1104,7643,8910
9433,-6734,-6918,-9507,-2355
-303,6590,2686,1584,-4593
7749,28,-4084,-8954,-6283
-5617,-4509,6071,-8479,7859
-4094,7236,-914,8761,-3178
4209,-8523,-1064,7578,-2712
5876,3081,5216,6129,8692
-4711,-7466,8057,5505,3347
9037,4516,-1086,2029,-9429
816,964,-7049,-4343,-2700
7407,2168,2108,71,9633
9062,-1686,-1837,8131,3335
-5648,1144,-1787,-9119,-4094
-719,-1897,-856,-7074,3424
-6079,-9910,8317,6537,1246
-501,-6447,-6615,-9821,-3567
-9062,2998,4375,-3060,7929
4601,5457,-2369,-1985,5387
-2774,1492,5625,5281,-6334
-9028,-6986,4052,-6815,-1437
1859,4946,362,8500,9569
5783,-9004,9328,9893,-5149
8141,-6557,-8737,9348,-6034
-4758,-3694,2528,-6527,6593
-7785,-2383,1154,7034,1924
1290,2854,7068,4710,6759
5143,-9275,4179,-1383,-7893
-4485,-4571,-7557,-3071,7203
-2123,9089,-5512,8138,2487
-9336,-3882,-650,5477,-5156
-3102,-4756,-370,4505,-8010
5440,-3900,1050,9404,4952
7831,-2022,1173,3437,-7580
1008,1291,3809,1352,-7131
-5564,8213,1922,-1278,-5423
-2424,-952,-8435,5741,-2345
4201,-2646,-5411,5614,88
7309,8841,-4599,7946,1444
9217,-9206,-2920,-9154,4676
8748,-1577,3856,-2511,-4385
-6948,9789,-621,-4791,4377
-2139,2392,8755,6012,7921
-8116,8370,1322,-6868,407
4350,-2384,-9110,5001,34
-2588,7717,1668,7706,-5353
-5815,-5422,9605,75,-9841
3980,-4558,2075,3689,-5260
8179,6342,3193,-4866,-6870
-1210,-7293,-1813,2765,1342
-8979,4282,-2588,-7486,-3453
-1024,1619,-6541,-3998,-1742
-6134,-1969,-2683,1845,-66
-5370,-5048,-836,-441,7814
8758,-4896,-5473,4433,-1302
9855,-8356,6911,-7235,-8251
-7585,-8343,1026,-9951,-9578
-5208,-777,-5524,-8616,-4173
5811,-9297,-1829,5724,-9980
7094,3966,5902,7474,478
6593,9771,8664,8498,-2060
3016,-5008,6094,-6148,-9445
4837,-7752,-4360,-9877,-8232
-9019,4218,-4474,-4953,-9331
5638,-7159,-7292,-6813,3953
3837,3744,844,-5503,2817
-2078,8036,5827,-5728,1609
3206,-2247,-1458,7054,-5817
-7476,9415,-7862,5742,-9871
-7792,-3138,-7915,589,7503
-145,6687,-1365,6590,7572
-7690,8750,-1674,-5264,-2728
127,-1498,-1126,9095,-9504
3853,7823,-8577,-8831,3801
7187,7746,-199,-8199,-9966
2157,8585,8762,-3453,3407
-9246,1118,-5713,-3110,-8252
6067,-4654,-8379,2111,-7236
8648,-3393,5920,3133,8850
5858,-2478,-1964,-7093,4977
3156,6281,-3397,616,-8626
4176,7619,-8339,-5820,6890
4008,-534,5501,-7715,-9730
972,-4660,-3241,5749,5261
8368,-2404,-5572,3650,-5932
-1042,7318,8402,8816,6903
2114,9112,-6259,5771,4730
-4036,-3960,9221,3797,2994
-6079,-5489,-6298,2418,-3380
-8822,838,6380,-612,-1030
-1103,1932,4402,-2599,4621
9272,-8409,-2094,-7029,-8194
-8382,-5672,287,9911,-7115
-2529,-4280,5268,-2916,-4889
6832,5906,7414,-6586,-1010
6000,-4655,1601,-6430,-6652
5687,-9160,7672,8285,6823
-7738,8740,-6548,7556,2923
-1594,7036,7058,-8665,-2916
107,-5333,2041,-3805,9671
5015,-4288,-5057,3259,-1034
-8592,-3477,186,4259,-9872
6670,5140,-8755,-3609,7564
-9504,1957,-3251,-6362,-1789
-2071,7917,-3430,-6230,3069
5928,6559,7171,-366,8606
-866,-256,4868,6330,-4886
9107,-1491,-9957,-8291,7900
8523,3778,1929,-7723,-8101
8279,-6926,3221,2994,1793
-9510,-6652,-2835,937,3344
-6584,-3519,-7047,228,6813
-62,-7785,8154,8528,-1642
8675,1346,-8936,9977,5725
8258,-3375,-5540,7630,-8128
3380,7486,4684,-6975,1604
-1120,9262,-627,-2504,9485
-9143,-2788,-7482,-5047,774
6023,-8640,9823,4296,1308
-7206,5319,5622,667,-7751
-675,1672,3661,6737,5201
